path,frame_count,uniform_frames,key_frames
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e15-16_seg02_clip_22,200,66,36
data/MVBench/video/tvqa/frames_fps3_hq/castle_s04e16_seg02_clip_23,251,83,46
data/MVBench/video/tvqa/frames_fps3_hq/friends_s10e10_seg02_clip_07,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s09e16_seg02_clip_22,170,56,30
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e15_seg02_clip_00,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/s07e15_seg02_clip_07,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e10_seg02_clip_09,194,64,34
data/MVBench/video/tvqa/frames_fps3_hq/s04e21_seg02_clip_02,182,60,33
data/MVBench/video/tvqa/frames_fps3_hq/s02e23_seg02_clip_11,182,60,33
data/MVBench/video/tvqa/frames_fps3_hq/castle_s07e15_seg02_clip_05,284,94,53
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e07_seg02_clip_20,266,88,46
data/MVBench/video/tvqa/frames_fps3_hq/met_s03e05_seg02_clip_14,188,62,33
data/MVBench/video/tvqa/frames_fps3_hq/grey_s03e04_seg02_clip_12,263,87,48
data/MVBench/video/tvqa/frames_fps3_hq/s07e06_seg02_clip_09,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e07_seg02_clip_18,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s05e19_seg02_clip_17,188,62,33
data/MVBench/video/tvqa/frames_fps3_hq/s05e15_seg02_clip_12,179,59,33
data/MVBench/video/tvqa/frames_fps3_hq/castle_s06e18_seg02_clip_23,266,88,48
data/MVBench/video/tvqa/frames_fps3_hq/met_s06e18_seg02_clip_04,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/s10e13_seg02_clip_11,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/house_s01e14_seg02_clip_16,278,92,49
data/MVBench/video/tvqa/frames_fps3_hq/grey_s02e10_seg02_clip_20,527,175,94
data/MVBench/video/tvqa/frames_fps3_hq/s02e02_seg02_clip_04,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s08e10_seg02_clip_09,197,65,36
data/MVBench/video/tvqa/frames_fps3_hq/grey_s03e05_seg02_clip_12,269,89,47
data/MVBench/video/tvqa/frames_fps3_hq/castle_s04e05_seg02_clip_02,278,92,50
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e06_seg02_clip_18,173,57,30
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e07_seg02_clip_20,179,59,31
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e10_seg02_clip_18,176,58,32
data/MVBench/video/tvqa/frames_fps3_hq/s08e18_seg02_clip_03,182,60,34
data/MVBench/video/tvqa/frames_fps3_hq/house_s08e22_seg02_clip_11,293,97,57
data/MVBench/video/tvqa/frames_fps3_hq/castle_s06e19_seg02_clip_05,272,90,51
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e06_seg02_clip_07,170,56,30
data/MVBench/video/tvqa/frames_fps3_hq/castle_s02e11_seg02_clip_00,281,93,53
data/MVBench/video/tvqa/frames_fps3_hq/s05e14_seg02_clip_05,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/s05e06_seg02_clip_14,176,58,31
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e12_seg02_clip_18,182,60,33
data/MVBench/video/tvqa/frames_fps3_hq/s04e15_seg02_clip_00,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/castle_s05e05_seg02_clip_16,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s01e18_seg02_clip_00,188,62,32
data/MVBench/video/tvqa/frames_fps3_hq/s02e16_seg02_clip_05,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/met_s06e15_seg02_clip_18,218,72,39
data/MVBench/video/tvqa/frames_fps3_hq/house_s04e16_seg02_clip_15,275,91,49
data/MVBench/video/tvqa/frames_fps3_hq/castle_s03e09_seg02_clip_20,275,91,51
data/MVBench/video/tvqa/frames_fps3_hq/s02e14_seg01_clip_01,140,46,25
data/MVBench/video/tvqa/frames_fps3_hq/s01e15_seg02_clip_13,176,58,34
data/MVBench/video/tvqa/frames_fps3_hq/house_s06e05_seg02_clip_18,269,89,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e17_seg02_clip_01,179,59,33
data/MVBench/video/tvqa/frames_fps3_hq/castle_s06e14_seg02_clip_26,335,111,58
data/MVBench/video/tvqa/frames_fps3_hq/castle_s04e22_seg02_clip_19,272,90,51
data/MVBench/video/tvqa/frames_fps3_hq/met_s06e08_seg02_clip_03,188,62,33
data/MVBench/video/tvqa/frames_fps3_hq/castle_s05e16_seg02_clip_21,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e13_seg02_clip_08,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/s06e13_seg01_clip_00,278,92,49
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e18_seg02_clip_02,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e25_seg02_clip_19,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e01_seg02_clip_11,278,92,51
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e06_seg02_clip_21,269,89,47
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e16_seg02_clip_11,275,91,49
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e01_seg02_clip_03,176,58,32
data/MVBench/video/tvqa/frames_fps3_hq/s08e22_seg02_clip_16,155,51,30
data/MVBench/video/tvqa/frames_fps3_hq/s04e22_seg02_clip_09,185,61,32
data/MVBench/video/tvqa/frames_fps3_hq/castle_s05e20_seg02_clip_07,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/grey_s02e04_seg02_clip_04,260,86,46
data/MVBench/video/tvqa/frames_fps3_hq/s05e08_seg01_clip_01,278,92,49
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e24_seg02_clip_24,344,114,62
data/MVBench/video/tvqa/frames_fps3_hq/s07e05_seg02_clip_02,191,63,34
data/MVBench/video/tvqa/frames_fps3_hq/s04e12_seg01_clip_01,185,61,33
data/MVBench/video/tvqa/frames_fps3_hq/grey_s02e12_seg02_clip_24,263,87,47
data/MVBench/video/tvqa/frames_fps3_hq/house_s05e09_seg02_clip_17,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e16_seg02_clip_10,266,88,48
data/MVBench/video/tvqa/frames_fps3_hq/friends_s05e10_seg02_clip_11,194,64,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e14_seg02_clip_09,173,57,31
data/MVBench/video/tvqa/frames_fps3_hq/house_s07e06_seg02_clip_17,233,77,41
data/MVBench/video/tvqa/frames_fps3_hq/friends_s08e10_seg01_clip_00,206,68,38
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e16_seg02_clip_17,266,88,47
data/MVBench/video/tvqa/frames_fps3_hq/friends_s04e22_seg02_clip_09,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/s04e05_seg02_clip_13,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/s07e04_seg01_clip_01,149,49,26
data/MVBench/video/tvqa/frames_fps3_hq/castle_s06e16_seg02_clip_25,266,88,51
data/MVBench/video/tvqa/frames_fps3_hq/s03e01_seg02_clip_02,176,58,31
data/MVBench/video/tvqa/frames_fps3_hq/friends_s08e07_seg02_clip_12,182,60,31
data/MVBench/video/tvqa/frames_fps3_hq/friends_s09e01_seg02_clip_21,197,65,33
data/MVBench/video/tvqa/frames_fps3_hq/s05e02_seg02_clip_09,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/met_s06e24_seg02_clip_07,182,60,31
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e02_seg02_clip_05,197,65,36
data/MVBench/video/tvqa/frames_fps3_hq/met_s02e10_seg02_clip_14,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s09e21_seg02_clip_03,182,60,32
data/MVBench/video/tvqa/frames_fps3_hq/s08e07_seg01_clip_00,185,61,34
data/MVBench/video/tvqa/frames_fps3_hq/s03e16_seg02_clip_04,188,62,34
data/MVBench/video/tvqa/frames_fps3_hq/friends_s03e23_seg02_clip_08,179,59,32
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e22_seg02_clip_03,170,56,29
data/MVBench/video/tvqa/frames_fps3_hq/house_s04e02_seg02_clip_00,278,92,53
data/MVBench/video/tvqa/frames_fps3_hq/castle_s06e13_seg02_clip_03,272,90,49
data/MVBench/video/tvqa/frames_fps3_hq/friends_s10e17-18_seg02_clip_15,161,53,29
data/MVBench/video/tvqa/frames_fps3_hq/s10e05_seg02_clip_13,176,58,31
data/MVBench/video/tvqa/frames_fps3_hq/s01e10_seg01_clip_02,227,75,40
data/MVBench/video/tvqa/frames_fps3_hq/house_s05e05_seg02_clip_13,275,91,48
data/MVBench/video/tvqa/frames_fps3_hq/friends_s06e15-16_seg02_clip_20,167,55,29
data/MVBench/video/tvqa/frames_fps3_hq/house_s03e23_seg02_clip_14,278,92,52
data/MVBench/video/tvqa/frames_fps3_hq/friends_s02e18_seg02_clip_04,176,58,32
data/MVBench/video/tvqa/frames_fps3_hq/castle_s08e01_seg02_clip_09,269,89,49
data/MVBench/video/tvqa/frames_fps3_hq/castle_s07e22_seg02_clip_15,272,90,50
data/MVBench/video/clevrer/video_validation/video_14865.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12596.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11712.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13105.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13677.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10815.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10197.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13307.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14332.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12743.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10140.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12031.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14291.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12838.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11464.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11302.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11458.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12151.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12637.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13529.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14252.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12145.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11869.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14087.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11699.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11855.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13071.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10222.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12353.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11896.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12347.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13059.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10551.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12420.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13064.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11115.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13716.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11854.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14086.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12391.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10586.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11840.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11868.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14904.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10009.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12178.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11263.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14496.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10800.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12554.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14131.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11713.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14694.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13853.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11088.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13674.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13106.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12218.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10427.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14655.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12967.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10180.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12783.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14319.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11261.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13462.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13304.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10143.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11301.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11467.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10751.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12634.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12152.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14090.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12387.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11842.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13933.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11117.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10209.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11671.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13072.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13714.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10553.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10546.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10234.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14052.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11857.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14913.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14244.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12635.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14522.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10744.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12621.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12609.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10778.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13265.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11472.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12190.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12184.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14293.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12806.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10156.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14330.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12027.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10142.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13463.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11274.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12769.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10181.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13488.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14132.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14126.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12231.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12219.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13107.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13846.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11923.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10393.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11933.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14877.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14644.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10344.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13881.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14888.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13117.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12209.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10191.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10146.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12989.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13473.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11502.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13315.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11516.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10783.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12802.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12816.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10032.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10754.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10998.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13249.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11338.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11476.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13922.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12341.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13739.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14056.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12427.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10230.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11884.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12369.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14718.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10219.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11661.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13062.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10557.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14916.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12397.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14094.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13923.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11477.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10999.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12803.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10972.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14309.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11503.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10635.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12744.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14679.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13116.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12220.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11926.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10386.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10390.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10384.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12544.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14647.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_13100.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11065.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12961.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_10810.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12197.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_14294.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12632.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_12154.mp4,128,5,3
data/MVBench/video/clevrer/video_validation/video_11449.mp4,128,5,3
